cls
avr-nm -C -S -l -f sysv C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\IttyBitty\nano_atmega328\IttyBitty.ino.elf

Name                  Value   Class        Type         Size     Line  Section
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
.do_clear_bss_loop  |00000108|   t  |            NOTYPE|        |     |.text    C:\Program Files (x86)\Arduino\hardware\arduino\avr\cores\arduino/WString.cpp:673
PortB               |008002b2|   B  |            OBJECT|00000004|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\IttyBitty\nano_atmega328\IttyBitty/IttyBitty_GPIO.cpp:167
PORTB_REG           |008002bb|   B  |            OBJECT|00000005|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\IttyBitty\nano_atmega328\IttyBitty/IttyBitty_GPIO.cpp:167
PortC               |0080029f|   B  |            OBJECT|00000004|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\IttyBitty\nano_atmega328\IttyBitty/IttyBitty_GPIO.cpp:171
PORTC_REG           |008002a8|   B  |            OBJECT|00000005|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\IttyBitty\nano_atmega328\IttyBitty/IttyBitty_GPIO.cpp:171
PortD               |0080028c|   B  |            OBJECT|00000004|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\IttyBitty\nano_atmega328\IttyBitty/IttyBitty_GPIO.cpp:175
PORTD_REG           |00800295|   B  |            OBJECT|00000005|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\IttyBitty\nano_atmega328\IttyBitty/IttyBitty_GPIO.cpp:175
Serial              |0080038d|   B  |            OBJECT|0000009d|     |.bss     C:\Program Files (x86)\Arduino\hardware\arduino\avr\cores\arduino/HardwareSerial0.cpp:70
setup               |00000130|   T  |              FUNC|00000002|     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\IttyBitty\nano_atmega328/IttyBitty.cpp:9
timer0_fract        |00800384|   b  |            OBJECT|00000001|     |.bss     C:\Program Files (x86)\Arduino\hardware\arduino\avr\cores\arduino/wiring.c:40
timer0_millis       |00800385|   B  |            OBJECT|00000004|     |.bss     C:\Program Files (x86)\Arduino\hardware\arduino\avr\cores\arduino/wiring.c:39
timer0_overflow_count|00800389|   B  |            OBJECT|00000004|     |.bss    C:\Program Files (x86)\Arduino\hardware\arduino\avr\cores\arduino/wiring.c:38
turnOffPWM          |00001464|   t  |              FUNC|00000052|     |.text
twi_error           |00800316|   b  |            OBJECT|00000001|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\IttyBitty\nano_atmega328\IttyBitty\utility/twi.c:62
twi_init            |0000107e|   T  |              FUNC|0000003c|     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\IttyBitty\nano_atmega328\IttyBitty\utility/twi.c:70
twi_inRepStart      |00800380|   b  |            OBJECT|00000001|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\IttyBitty\nano_atmega328\IttyBitty\utility/twi.c:46
twi_masterBuffer    |0080035c|   b  |            OBJECT|00000020|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\IttyBitty\nano_atmega328\IttyBitty\utility/twi.c:51
twi_masterBufferIndex|0080035b|   b  |            OBJECT|00000001|     |.bss    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\IttyBitty\nano_atmega328\IttyBitty\utility/twi.c:52
twi_masterBufferLength|0080035a|   b  |            OBJECT|00000001|     |.bss   C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\IttyBitty\nano_atmega328\IttyBitty\utility/twi.c:53
twi_onSlaveReceive  |0080037c|   b  |            OBJECT|00000002|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\IttyBitty\nano_atmega328\IttyBitty\utility/twi.c:49
twi_onSlaveTransmit |0080037e|   b  |            OBJECT|00000002|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\IttyBitty\nano_atmega328\IttyBitty\utility/twi.c:48
twi_releaseBus      |000010fc|   T  |              FUNC|0000000c|     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\IttyBitty\nano_atmega328\IttyBitty\utility/twi.c:356
twi_rxBuffer        |00800318|   b  |            OBJECT|00000020|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\IttyBitty\nano_atmega328\IttyBitty\utility/twi.c:59
twi_rxBufferIndex   |00800317|   b  |            OBJECT|00000001|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\IttyBitty\nano_atmega328\IttyBitty\utility/twi.c:60
twi_sendStop        |00800381|   b  |            OBJECT|00000001|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\IttyBitty\nano_atmega328\IttyBitty\utility/twi.c:45
twi_slarw           |00800382|   b  |            OBJECT|00000001|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\IttyBitty\nano_atmega328\IttyBitty\utility/twi.c:44
twi_state           |00800383|   b  |            OBJECT|00000001|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\IttyBitty\nano_atmega328\IttyBitty\utility/twi.c:43
twi_stop            |000010e8|   T  |              FUNC|00000014|     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\IttyBitty\nano_atmega328\IttyBitty\utility/twi.c:335
twi_transmit        |000010b6|   T  |              FUNC|00000032|     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\IttyBitty\nano_atmega328\IttyBitty\utility/twi.c:268
twi_txBuffer        |0080033a|   b  |            OBJECT|00000020|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\IttyBitty\nano_atmega328\IttyBitty\utility/twi.c:55
twi_txBufferIndex   |00800339|   b  |            OBJECT|00000001|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\IttyBitty\nano_atmega328\IttyBitty\utility/twi.c:56
twi_txBufferLength  |00800338|   b  |            OBJECT|00000001|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\IttyBitty\nano_atmega328\IttyBitty\utility/twi.c:57
Wire                |008002c5|   B  |            OBJECT|0000000c|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\IttyBitty\nano_atmega328\IttyBitty/Wire.cpp:1082
